iter	Passed	Remaining
411	3914	3686
412	3923	3676
413	3932	3666
414	3942	3657
415	3950	3646
416	3960	3637
417	3968	3626
418	3977	3616
419	3986	3606
420	3996	3597
421	4004	3586
422	4013	3576
423	4022	3567
424	4032	3558
425	4041	3548
426	4050	3538
427	4060	3528
428	4068	3518
429	4078	3509
430	4088	3499
431	4096	3489
432	4106	3480
433	4114	3469
434	4124	3460
435	4132	3450
436	4142	3440
437	4150	3430
438	4160	3421
439	4170	3412
440	4179	3402
441	4189	3393
442	4198	3383
443	4207	3373
444	4217	3364
445	4228	3356
446	4238	3347
447	4246	3336
448	4256	3327
449	4264	3316
450	4274	3308
451	4286	3300
452	4294	3289
453	4304	3280
454	4312	3269
455	4322	3260
456	4330	3249
457	4340	3240
458	4349	3231
459	4357	3220
460	4367	3211
461	4375	3201
462	4385	3191
463	4393	3181
464	4403	3172
465	4412	3162
466	4422	3153
467	4432	3144
468	4440	3133
469	4450	3124
470	4458	3114
471	4467	3104
472	4475	3094
473	4485	3084
474	4494	3074
475	4503	3065
476	4513	3055
477	4521	3045
478	4530	3036
479	4539	3026
480	4548	3016
481	4557	3006
482	4567	2997
483	4576	2988
484	4585	2978
485	4595	2968
486	4603	2958
487	4613	2949
488	4621	2939
489	4631	2930
490	4639	2919
491	4649	2910
492	4659	2901
493	4668	2891
494	4678	2882
495	4686	2872
496	4695	2862
497	4703	2852
498	4713	2843
499	4721	2833
500	4731	2823
501	4740	2814
502	4748	2804
503	4758	2794
504	4766	2784
505	4776	2775
506	4785	2765
507	4794	2756
508	4804	2746
509	4813	2737
510	4823	2727
511	4831	2717
512	4841	2708
513	4849	2698
514	4860	2689
515	4868	2679
516	4878	2670
517	4887	2660
518	4896	2651
519	4905	2641
520	4914	2631
521	4929	2625
522	4940	2616
523	4948	2606
524	4958	2597
525	4966	2587
526	4976	2577
527	4984	2567
528	4993	2558
529	5003	2549
530	5011	2538
531	5021	2529
532	5029	2519
533	5039	2510
534	5048	2500
535	5060	2492
536	5070	2483
537	5079	2473
538	5089	2464
539	5097	2454
540	5107	2445
541	5116	2435
542	5125	2425
543	5136	2417
544	5144	2407
545	5154	2398
546	5162	2387
547	5173	2379
548	5183	2369
549	5192	2360
550	5202	2351
551	5212	2341
552	5222	2332
553	5231	2323
554	5239	2313
555	5249	2303
556	5258	2293
557	5267	2284
558	5275	2274
559	5285	2265
560	5293	2255
561	5303	2246
562	5313	2236
563	5322	2226
564	5331	2217
565	5339	2207
566	5348	2198
567	5357	2188
568	5368	2179
569	5377	2169
570	5386	2160
571	5395	2150
572	5405	2141
573	5414	2131
574	5422	2122
575	5432	2112
576	5441	2102
577	5449	2093
578	5457	2083
579	5468	2074
580	5479	2065
581	5489	2056
582	5499	2047
583	5511	2038
584	5523	2029
585	5533	2020
586	5545	2012
587	5555	2003
588	5566	1994
589	5578	1985
590	5588	1976
591	5598	1966
592	5608	1957
593	5618	1948
594	5629	1939
595	5638	1929
596	5647	1920
597	5657	1911
598	5666	1901
599	5676	1892
600	5686	1882
601	5695	1873
602	5704	1863
603	5713	1854
604	5723	1844
605	5731	1834
606	5740	1825
607	5748	1815
608	5758	1805
609	5767	1796
610	5776	1786
611	5785	1777
612	5796	1768
613	5807	1759
614	5816	1749
615	5826	1740
616	5835	1730
617	5843	1720
618	5853	1711
619	5862	1702
620	5873	1692
621	5881	1683
622	5890	1673
623	5899	1664
624	5908	1654
625	5918	1645
626	5927	1635
627	5936	1625
628	5944	1616
629	5954	1606
630	5962	1596
631	5972	1587
632	5980	1577
633	5989	1568
634	5998	1558
635	6008	1549
636	6017	1539
637	6026	1530
638	6034	1520
639	6042	1510
640	6052	1501
641	6060	1491
642	6070	1482
643	6079	1472
644	6088	1463
645	6098	1453
646	6107	1444
647	6117	1435
648	6126	1425
649	6135	1415
650	6144	1406
651	6153	1396
652	6165	1387
653	6175	1378
654	6184	1369
655	6193	1359
656	6203	1350
657	6212	1340
658	6221	1331
659	6230	1321
660	6239	1312
661	6256	1304
662	6269	1295
663	6280	1286
664	6291	1277
665	6302	1268
666	6312	1258
667	6321	1249
668	6333	1240
669	6343	1230
670	6354	1221
671	6365	1212
672	6376	1203
673	6386	1193
674	6400	1185
675	6414	1176
676	6427	1167
677	6440	1158
678	6452	1149
679	6464	1140
680	6475	1131
681	6486	1122
682	6497	1112
683	6506	1103
684	6516	1093
685	6526	1084
686	6536	1075
687	6546	1065
688	6557	1056
689	6567	1047
690	6578	1037
691	6587	1028
692	6597	1018
693	6608	1009
694	6618	999
695	6628	990
696	6639	981
697	6655	972
698	6674	964
699	6683	954
700	6692	945
701	6700	935
702	6709	925
703	6721	916
704	6731	907
705	6741	897
706	6752	888
707	6762	878
708	6773	869
709	6782	859
710	6792	850
711	6800	840
712	6809	830
713	6819	821
714	6829	811
715	6842	802
716	6854	793
717	6865	784
718	6876	774
719	6887	765
720	6897	755
721	6909	746
722	6920	737
723	6930	727
724	6939	717
725	6950	708
726	6959	698
727	6969	689
728	6979	679
729	6990	670
730	6999	660
731	7008	651
732	7018	641
733	7027	631
734	7036	622
735	7047	612
736	7057	603
737	7068	593
738	7080	584
739	7090	574
740	7100	565
741	7111	555
742	7121	546
743	7135	537
744	7146	527
745	7155	517
746	7167	508
747	7176	498
748	7188	489
749	7196	479
750	7205	470
751	7218	460
752	7228	451
753	7237	441
754	7247	431
755	7257	422
756	7267	412
757	7277	403
758	7286	393
759	7296	384
760	7305	374
761	7317	364
762	7327	355
763	7336	345
764	7346	336
765	7357	326
766	7367	317
767	7378	307
768	7387	297
769	7396	288
770	7407	278
771	7417	269
772	7427	259
773	7437	249
774	7447	240
775	7460	230
776	7471	221
777	7480	211
778	7489	201
779	7497	192
780	7508	182
781	7517	173
782	7527	163
783	7538	153
784	7547	144
785	7557	134
786	7566	124
787	7575	115
788	7586	105
789	7595	96
790	7606	86
791	7616	76
792	7625	67
793	7636	57
794	7645	48
795	7655	38
796	7664	28
797	7674	19
798	7684	9
799	7694	0
