iter	Logloss
0	0.6772482973
1	0.6627704506
2	0.6518096508
3	0.6354908956
4	0.6247369002
5	0.6093962875
6	0.5951676122
7	0.5824604502
8	0.5716892003
9	0.5631412849
10	0.5536015898
11	0.5432448218
12	0.5335583596
13	0.5254205605
14	0.5195163654
15	0.5103609257
16	0.5019112985
17	0.4920922053
18	0.4834406382
19	0.476043327
20	0.4702865226
21	0.4629075053
22	0.4561519779
23	0.4488678394
24	0.4419018904
25	0.436919085
26	0.430338805
27	0.4207474295
28	0.4160335031
29	0.408757597
30	0.4037114697
31	0.3983079874
32	0.3920302222
33	0.3864684144
34	0.3813201738
35	0.3763742057
36	0.3731207159
37	0.3696628747
38	0.3663665605
39	0.3633933418
40	0.3581307642
41	0.353666633
42	0.349646046
43	0.3448624364
44	0.3407978609
45	0.3385576461
46	0.3354453729
47	0.3310961399
48	0.3262843826
49	0.3235382995
50	0.3211208416
51	0.3176252069
52	0.3141895679
53	0.3103064555
54	0.3074728734
55	0.3040836345
56	0.3021349998
57	0.298115972
58	0.294431307
59	0.2917390246
60	0.2885950073
61	0.2852703167
62	0.2834016556
63	0.2815323708
64	0.2791402126
65	0.2771083198
66	0.2756222509
67	0.2737070026
68	0.2704634913
69	0.2674767393
70	0.2647549372
71	0.2629597635
72	0.2595952629
73	0.2572609384
74	0.2540053698
75	0.2526674608
76	0.2510114665
77	0.248825489
78	0.2464616656
79	0.2435480269
80	0.2422201172
81	0.240998146
82	0.2387279542
83	0.2365476104
84	0.2344138122
85	0.2327503963
86	0.2306679874
87	0.2295638248
88	0.228050128
89	0.2261499722
90	0.2252608879
91	0.2241327145
92	0.2229941885
93	0.2208843179
94	0.2196397496
95	0.2172440573
96	0.2158398122
97	0.2142092422
98	0.2125739116
99	0.2110637696
100	0.2100630924
101	0.2085254056
102	0.2073178616
103	0.2057789899
104	0.2028802357
105	0.2017103398
106	0.2002556824
107	0.1989937972
108	0.1965310619
109	0.1940990105
110	0.1930340759
111	0.1920260811
112	0.1893255249
113	0.1877064302
114	0.1868169925
115	0.1859572408
116	0.1850480332
117	0.1840656499
118	0.1832150659
119	0.1816594386
120	0.1794088088
121	0.177691904
122	0.1765397199
123	0.1751939737
124	0.1738183336
125	0.1717396874
126	0.1711898097
127	0.170096717
128	0.1688000838
129	0.1674461988
130	0.1659878099
131	0.1650745589
132	0.1639352741
133	0.1632027899
134	0.1619797273
135	0.1605358903
136	0.1593475862
137	0.1587516203
138	0.1569909452
139	0.1566250669
140	0.1560160873
141	0.1551677278
142	0.1537632228
143	0.1530405195
144	0.1522594421
145	0.1514251771
146	0.1499881381
147	0.1491197279
148	0.1479729177
149	0.1470040262
150	0.1465239252
151	0.1456963854
152	0.1451735743
153	0.144269938
154	0.1434129824
155	0.1427852412
156	0.1417089665
157	0.1411901885
158	0.1408240295
159	0.1389644841
